district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario,rainfall_adequacy_ratio,growing_degree_days,vapour_pressure_deficit,soil_crop_suitability_score,irrigation_efficiency_score,pest_pressure_index,yield_lag_1yr,ndvi_anomaly,crop_name_encoded,irrigation_type_encoded,seed_variety_encoded,previous_crop_encoded,season_encoded,soil_type_Deep Black Cotton,soil_type_Laterite,soil_type_Medium Black,soil_type_Red,soil_type_Red Laterite,division_Aurangabad,division_Konkan,division_Nagpur,division_Nashik,division_Pune
Mumbai City,Konkan,Kharif,2010,2.6261798734201,-1.4673376917176508,1.5931808713971196,1.1503822159377604,-0.6794607195460542,0.5847392133971531,-0.4925425964211436,-0.20729425193692047,Laterite,5.9,0.61,130.7,5.3,178.7,23.0,0.11,Rice,-2,rainfed,BT,180.3,3,Rice,0.8857142857142857,0.8,0.5161290322580646,0.0,0,1,0,0,2588.0,0.057,Low,normal,2.066,1938.0,0.761,1.0,0.4,0.0,2500.0,0.105,4,3,0,4,0,False,True,False,False,False,False,True,False,False,False
Mumbai Suburban,Konkan,Kharif,2010,1.6908784691637038,-1.9501985604796852,0.8692219778018732,1.812519686056176,-0.6794607195460542,-0.31509621805233784,1.622534239129906,-0.20729425193692047,Alluvial,7.4,0.76,310.6,19.9,239.2,20.9,0.33,Rice,-7,rainfed,Desi,292.4,2,Sugarcane,0.3428571428571429,1.0,1.0,0.2,2,5,1,0,2739.9,0.423,Medium,normal,1.521,1758.0,0.22,0.8,0.4,0.333,2500.0,0.126,4,3,1,6,0,False,False,False,False,False,False,True,False,False,False
Thane,Konkan,Kharif,2010,1.913603382428435,-2.3587731417398694,2.061624861370515,1.812519686056176,-0.54248576970928,-0.10098746587464548,-1.1975682082714934,-0.20729425193692047,Alluvial,7.3,0.83,228.3,23.6,208.1,34.2,0.24,Rice,0,furrow,BT,86.9,4,Sugarcane,0.6571428571428573,0.49090909090909074,0.3709677419354839,0.8,15,0,1,1,1773.8,0.989,Critical,pest_outbreak,1.651,1860.0,0.206,0.8,0.65,0.0,2500.0,-0.065,4,2,0,6,0,False,False,False,False,False,False,True,False,False,False
Palghar,Konkan,Kharif,2010,2.545110869620847,-2.061627991732463,0.7840503432612562,1.4486423376127227,-0.9534106192196029,0.5066184524674545,-1.4325767455549432,-0.20729425193692047,Alluvial,7.0,0.65,226.7,20.6,267.5,38.9,0.33,Rice,-5,furrow,HYV,168.8,1,Onion,0.45714285714285713,0.6727272727272728,0.6451612903225807,0.0,5,7,0,0,3084.7,0.129,Low,normal,2.018,1728.0,0.479,1.0,0.65,1.167,2500.0,0.041,4,2,2,3,0,False,False,False,False,False,False,True,False,False,False
Raigad,Konkan,Kharif,2010,2.6681466898744834,-2.1730574229852406,1.7209383232080457,1.812519686056176,-0.26853587003573137,0.6252462746199596,-0.4925425964211436,-0.20729425193692047,Alluvial,7.2,0.92,239.1,22.8,342.2,36.2,0.34,Rice,2,rainfed,BT,155.0,3,Onion,0.39999999999999997,0.9818181818181817,0.9516129032258066,0.0,0,7,1,0,2865.6,0.278,Medium,normal,2.09,1842.0,0.212,0.8,0.4,0.0,2500.0,0.141,4,3,0,3,0,False,False,False,False,False,False,True,False,False,False
Ratnagiri,Konkan,Kharif,2010,1.8179247701706598,-1.504480835468576,2.019039044100206,1.812519686056176,0.4163388791481402,-0.1906816728680031,-0.02252552185424372,-0.20729425193692047,Alluvial,7.2,0.79,301.9,32.5,313.7,21.9,0.35,Rice,-1,sprinkler,Desi,209.8,5,Tur Dal,0.6285714285714286,0.49090909090909074,0.38709677419354843,0.2,5,7,1,0,2549.5,0.446,Medium,normal,1.595,1992.0,0.235,0.8,0.85,1.167,2500.0,-0.031,4,4,1,7,0,False,False,False,False,False,False,True,False,False,False
Sindhudurg,Konkan,Kharif,2010,2.5992523597906665,-1.9130554167287601,2.231968130451749,1.812519686056176,0.005414029637817257,0.5586989597539203,0.6825000899961061,-0.20729425193692047,Alluvial,7.2,0.62,230.5,24.5,264.5,37.0,0.25,Rice,2,sprinkler,Desi,258.2,9,Onion,0.6857142857142857,0.6363636363636365,0.48387096774193555,0.2,14,7,1,1,2656.1,1.0,Critical,pest_outbreak,2.05,1956.0,0.221,0.8,0.85,3.267,2500.0,-0.025,4,4,1,3,0,False,False,False,False,False,False,True,False,False,False
Nashik,Nashik,Rabi,2010,-0.8013488561136762,-2.098771135483389,-1.5155837893354098,-1.5816804986048936,-0.26853587003573137,-0.46844437839582015,-0.02252552185424372,3.516642723687284,Red,5.9,0.33,126.3,8.3,294.4,22.5,0.38,Onion,0,furrow,Desi,281.3,2,Soybean,0.7714285714285714,0.5454545454545454,0.3548387096774194,0.4,1,6,0,0,15306.8,0.3,Medium,normal,0.214,1398.0,2.657,0.7,0.65,0.2,18000.0,-0.079,3,2,1,5,1,False,False,False,True,False,False,False,False,True,False
Nashik,Nashik,Year-Round,2010,-0.8398781176366426,1.1698255145980816,1.8061099577486628,-2.249783171156809,-0.54248576970928,-0.4018970635297807,-0.02252552185424372,-0.20729425193692047,Red,6.3,0.36,174.7,15.4,291.6,24.2,0.45,Grapes,3,canal,Hybrid,206.6,5,Soybean,0.7428571428571429,0.49090909090909074,0.32258064516129037,0.0,3,2,0,0,15194.8,0.015,Low,normal,0.098,2394.0,5.111,0.7,0.6,0.2,25000.0,-0.109,1,0,3,5,2,False,False,False,True,False,False,False,False,True,False
Ahmednagar,Nashik,Rabi,2010,-0.7831584612682609,-2.1730574229852406,-1.5581696066057182,-0.7107609433140039,-0.4055108198725057,-0.12124099648604882,-0.02252552185424372,3.516642723687284,Red,6.0,0.48,188.7,13.1,262.6,21.3,0.14,Onion,7,rainfed,Desi,189.2,2,Onion,0.28571428571428575,0.9454545454545453,0.9838709677419355,0.0,5,19,0,1,13111.1,0.338,Medium,normal,0.246,1380.0,2.007,0.9,0.4,3.167,18000.0,0.166,3,3,1,3,1,False,False,False,True,False,False,False,False,True,False
