district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario
Mumbai City,Konkan,Kharif,2010,2478.6,31.9,20.4,83.9,5,18.0,-2,0,Laterite,5.9,0.61,130.7,5.3,178.7,23.0,0.11,Rice,-2,rainfed,BT,180.3,3,Rice,0.46,0.74,0.28,0,0,1,0,0,2588.0,0.057,Low,normal
Mumbai Suburban,Konkan,Kharif,2010,1825.6,30.6,18.7,95.0,5,-13.1,7,0,Alluvial,7.4,0.76,310.6,19.9,239.2,20.9,0.33,Rice,-7,rainfed,Desi,292.4,2,Sugarcane,0.27,0.85,0.58,1,2,5,1,0,2739.9,0.423,Medium,normal
Thane,Konkan,Kharif,2010,1981.1,29.5,21.5,95.0,6,-5.7,-5,0,Alluvial,7.3,0.83,228.3,23.6,208.1,34.2,0.24,Rice,0,furrow,BT,86.9,4,Sugarcane,0.38,0.57,0.19,4,15,0,1,1,1773.8,0.989,Critical,pest_outbreak
Palghar,Konkan,Kharif,2010,2422.0,30.3,18.5,88.9,3,15.3,-6,0,Alluvial,7.0,0.65,226.7,20.6,267.5,38.9,0.33,Rice,-5,furrow,HYV,168.8,1,Onion,0.31,0.67,0.36,0,5,7,0,0,3084.7,0.129,Low,normal
Raigad,Konkan,Kharif,2010,2507.9,30.0,20.7,95.0,8,19.4,-2,0,Alluvial,7.2,0.92,239.1,22.8,342.2,36.2,0.34,Rice,2,rainfed,BT,155.0,3,Onion,0.29,0.84,0.55,0,0,7,1,0,2865.6,0.278,Medium,normal
Ratnagiri,Konkan,Kharif,2010,1914.3,31.8,21.4,95.0,13,-8.8,0,0,Alluvial,7.2,0.79,301.9,32.5,313.7,21.9,0.35,Rice,-1,sprinkler,Desi,209.8,5,Tur Dal,0.37,0.57,0.2,1,5,7,1,0,2549.5,0.446,Medium,normal
Sindhudurg,Konkan,Kharif,2010,2459.8,30.7,21.9,95.0,10,17.1,3,0,Alluvial,7.2,0.62,230.5,24.5,264.5,37.0,0.25,Rice,2,sprinkler,Desi,258.2,9,Onion,0.39,0.65,0.26,1,14,7,1,1,2656.1,1.0,Critical,pest_outbreak
Nashik,Nashik,Rabi,2010,85.6,30.2,13.1,38.1,8,-18.4,0,3,Red,5.9,0.33,126.3,8.3,294.4,22.5,0.38,Onion,0,furrow,Desi,281.3,2,Soybean,0.42,0.6,0.18,2,1,6,0,0,15306.8,0.3,Medium,normal
Nashik,Nashik,Year-Round,2010,58.7,39.0,20.9,26.9,6,-16.1,0,0,Red,6.3,0.36,174.7,15.4,291.6,24.2,0.45,Grapes,3,canal,Hybrid,206.6,5,Soybean,0.41,0.57,0.16,0,3,2,0,0,15194.8,0.015,Low,normal
Ahmednagar,Nashik,Rabi,2010,98.3,30.0,13.0,52.7,7,-6.4,0,3,Red,6.0,0.48,188.7,13.1,262.6,21.3,0.14,Onion,7,rainfed,Desi,189.2,2,Onion,0.25,0.82,0.57,0,5,19,0,1,13111.1,0.338,Medium,normal
Ahmednagar,Nashik,Year-Round,2010,74.8,40.0,22.2,51.6,4,6.9,0,0,Medium Black,7.2,0.58,246.9,24.4,417.4,32.3,0.7,Grapes,-2,furrow,Hybrid,96.0,2,Sugarcane,0.31,0.7,0.39,2,5,3,1,0,22004.2,0.591,High,normal
Dhule,Nashik,Rabi,2010,97.9,30.7,12.0,41.2,9,-6.8,0,5,Red,6.3,0.5,125.9,14.6,295.4,17.8,0.35,Onion,-4,canal,BT,299.1,5,Grapes,0.36,0.72,0.36,0,4,0,0,0,12137.5,0.087,Low,normal
Dhule,Nashik,Year-Round,2010,78.8,39.7,19.7,56.4,8,12.6,0,0,Medium Black,7.5,0.49,248.5,18.8,399.9,22.9,0.7,Grapes,9,canal,HYV,183.1,2,Grapes,0.42,0.69,0.27,2,7,1,0,0,20247.1,0.29,Medium,normal
Nandurbar,Nashik,Rabi,2010,120.9,32.0,11.2,35.7,7,15.1,0,5,Medium Black,6.8,0.35,151.5,18.3,368.0,22.8,0.46,Onion,-4,rainfed,Hybrid,200.4,4,Sugarcane,0.29,0.82,0.53,0,4,2,0,1,11477.7,0.175,Low,normal
Nandurbar,Nashik,Year-Round,2010,59.6,37.5,19.6,25.6,7,-14.8,0,0,Medium Black,7.6,0.44,184.8,12.6,359.7,25.7,0.41,Grapes,3,rainfed,HYV,190.8,1,Soybean,0.37,0.74,0.37,1,16,0,1,1,14860.1,1.0,Critical,pest_outbreak
Jalgaon,Nashik,Rabi,2010,122.8,29.9,14.0,46.3,3,17.0,0,3,Red,6.2,0.36,139.4,11.2,206.6,10.3,0.23,Onion,-3,drip,HYV,155.4,4,Grapes,0.4,0.76,0.36,0,1,15,0,0,17818.4,0.263,Medium,normal
Jalgaon,Nashik,Year-Round,2010,83.6,39.4,19.9,24.1,4,19.5,0,0,Medium Black,6.6,0.64,155.2,12.3,389.4,34.9,0.74,Grapes,3,drip,Desi,136.7,4,Rice,0.46,0.57,0.11,2,5,5,0,0,20894.2,0.344,Medium,normal
Pune,Pune,Kharif,2010,747.7,32.3,15.4,66.6,6,17.3,11,0,Deep Black Cotton,7.5,0.77,263.1,34.3,324.9,34.6,1.14,Soybean,-3,sprinkler,BT,283.8,1,Sugarcane,0.28,0.78,0.5,0,4,17,0,1,1309.3,0.434,Medium,normal
Pune,Pune,Year-Round,2010,95.8,37.8,19.5,40.8,9,12.7,0,0,Medium Black,6.9,0.59,219.4,15.0,425.7,24.9,0.64,Sugarcane,-1,canal,HYV,113.4,3,Grapes,0.43,0.67,0.24,1,0,4,0,0,67385.7,0.089,Low,normal
Pune,Pune,Kharif,2010,706.8,31.0,15.4,75.4,10,10.9,14,0,Medium Black,7.3,0.31,237.2,28.8,363.0,28.9,0.75,Jowar,-3,canal,Desi,95.2,1,Soybean,0.48,0.66,0.18,0,6,0,1,1,1186.2,0.481,Medium,normal
Satara,Pune,Kharif,2010,524.0,32.3,16.2,50.2,8,-17.8,-5,0,Medium Black,7.3,0.37,153.4,17.6,406.1,20.6,0.33,Soybean,0,sprinkler,HYV,119.2,3,Sugarcane,0.3,0.6,0.3,0,0,17,0,0,1185.5,0.098,Low,normal
Satara,Pune,Year-Round,2010,88.0,37.2,20.9,43.7,6,3.5,0,0,Deep Black Cotton,7.6,0.51,244.4,23.2,305.1,23.1,0.94,Sugarcane,7,canal,HYV,201.4,2,Jowar,0.28,0.78,0.5,0,1,5,0,0,68648.9,0.079,Low,normal
Satara,Pune,Kharif,2010,680.4,31.8,14.2,90.3,2,6.7,1,0,Deep Black Cotton,7.2,0.75,244.3,29.1,482.1,32.5,0.6,Jowar,-2,drip,Hybrid,217.3,3,Onion,0.49,0.77,0.28,0,8,3,1,0,1162.5,0.303,Medium,normal
Sangli,Pune,Kharif,2010,699.1,33.8,14.6,59.8,10,9.7,0,0,Medium Black,6.8,0.3,163.7,28.2,424.8,26.9,0.56,Soybean,-12,canal,BT,206.1,4,Grapes,0.43,0.53,0.1,0,3,20,0,0,861.1,0.281,Medium,normal
Sangli,Pune,Year-Round,2010,90.6,39.7,20.9,29.7,3,6.5,0,0,Medium Black,7.7,0.36,212.3,20.5,318.9,22.0,0.45,Sugarcane,-8,rainfed,Hybrid,175.7,4,Cotton,0.28,0.61,0.33,3,2,5,1,1,50706.0,0.775,Critical,normal
Sangli,Pune,Kharif,2010,760.0,34.6,15.6,81.2,3,19.2,4,0,Deep Black Cotton,7.3,0.63,271.5,15.7,439.5,25.9,1.13,Jowar,5,rainfed,Desi,194.9,4,Rice,0.42,0.62,0.2,1,4,6,0,0,979.6,0.156,Low,normal
Solapur,Pune,Kharif,2010,667.0,31.9,13.1,89.2,8,4.6,11,0,Medium Black,6.9,0.46,159.2,18.1,354.5,29.6,0.2,Soybean,-1,furrow,Hybrid,143.2,2,Soybean,0.48,0.52,0.04,0,2,13,1,1,1360.7,0.529,High,normal
Solapur,Pune,Year-Round,2010,88.4,39.6,22.0,53.5,5,4.0,0,0,Deep Black Cotton,7.3,0.49,198.6,30.6,370.0,21.2,1.17,Sugarcane,0,rainfed,BT,211.4,3,Soybean,0.29,0.79,0.5,0,5,0,0,0,53213.3,0.069,Low,normal
Solapur,Pune,Kharif,2010,736.6,34.8,16.4,86.4,6,15.5,2,0,Medium Black,7.2,0.68,160.9,28.1,448.3,16.2,0.73,Jowar,4,canal,Hybrid,229.2,7,Rice,0.31,0.83,0.52,0,5,7,0,0,1058.6,0.185,Low,normal
Kolhapur,Pune,Kharif,2010,511.3,34.3,13.9,90.9,1,-19.8,-4,0,Medium Black,6.9,0.55,248.1,23.4,302.0,27.7,0.52,Soybean,4,rainfed,Desi,142.3,0,Soybean,0.49,0.62,0.13,1,3,11,1,0,1328.3,0.372,Medium,normal
Kolhapur,Pune,Year-Round,2010,69.6,39.5,21.9,63.6,4,-18.2,0,0,Medium Black,7.0,0.63,175.3,12.0,281.8,24.4,0.77,Sugarcane,4,drip,HYV,116.0,3,Grapes,0.31,0.55,0.24,2,6,6,1,1,68671.1,0.623,High,normal
Kolhapur,Pune,Kharif,2010,694.7,34.0,13.8,89.1,6,9.0,-2,0,Medium Black,7.5,0.64,226.1,23.3,276.2,15.7,0.75,Jowar,6,furrow,Desi,211.6,3,Onion,0.27,0.7,0.43,0,6,3,0,0,953.8,0.014,Low,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,446.9,36.8,18.4,76.2,3,-8.3,12,0,Deep Black Cotton,7.5,0.71,274.1,16.4,406.8,37.7,0.37,Soybean,0,rainfed,Desi,167.3,3,Cotton,0.26,0.73,0.47,1,5,2,0,0,1480.5,0.271,Medium,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,484.5,36.6,17.2,68.9,5,-0.6,2,0,Deep Black Cotton,7.4,0.46,267.2,19.4,495.2,26.7,0.46,Cotton,3,furrow,Desi,84.6,4,Rice,0.42,0.53,0.11,0,8,6,0,0,376.5,0.244,Low,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,457.5,35.5,19.0,46.6,11,-6.2,7,0,Medium Black,6.8,0.61,190.5,22.8,376.5,22.5,0.51,Tur Dal,6,furrow,Desi,188.3,3,Soybean,0.42,0.53,0.11,1,8,4,0,0,865.0,0.21,Low,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2010,562.3,35.8,16.3,63.0,7,15.3,-2,0,Medium Black,7.5,0.57,197.5,27.2,411.1,26.7,0.72,Jowar,-1,sprinkler,Desi,107.1,1,Soybean,0.28,0.66,0.38,1,4,1,0,0,1426.8,0.197,Low,normal
Jalna,Aurangabad,Kharif,2010,490.5,36.0,17.7,50.6,4,0.6,-3,0,Medium Black,7.8,0.4,216.2,29.6,324.9,15.4,0.35,Soybean,9,rainfed,BT,205.5,0,Jowar,0.45,0.82,0.37,0,7,4,0,0,1583.7,0.203,Low,normal
Jalna,Aurangabad,Kharif,2010,536.7,34.4,16.2,49.4,12,10.1,-1,0,Deep Black Cotton,7.6,0.68,218.9,24.0,347.5,27.5,0.5,Cotton,0,canal,Desi,247.1,6,Sugarcane,0.35,0.7,0.35,0,2,22,1,0,375.5,0.475,Medium,normal
Jalna,Aurangabad,Kharif,2010,401.8,37.7,16.4,49.1,7,-17.6,-4,0,Deep Black Cotton,8.2,0.61,192.3,32.2,460.0,23.7,0.57,Tur Dal,4,rainfed,HYV,136.4,4,Cotton,0.28,0.5,0.22,1,8,2,0,0,798.2,0.269,Medium,normal
Jalna,Aurangabad,Kharif,2010,439.9,35.2,17.9,79.0,7,-9.8,1,0,Medium Black,6.8,0.34,152.4,23.6,371.4,25.9,0.34,Jowar,7,furrow,Desi,140.4,5,Jowar,0.28,0.54,0.26,1,0,0,0,0,955.7,0.064,Low,normal
Beed,Aurangabad,Kharif,2010,403.5,36.1,15.3,77.0,11,-17.2,-3,0,Deep Black Cotton,7.1,0.78,243.5,30.1,334.1,28.2,0.68,Soybean,0,rainfed,Hybrid,156.5,4,Jowar,0.26,0.76,0.5,1,3,6,1,0,1389.4,0.42,Medium,normal
Beed,Aurangabad,Kharif,2010,402.3,34.5,15.9,58.7,8,-17.5,12,0,Deep Black Cotton,7.7,0.8,265.1,19.2,486.1,22.3,1.04,Cotton,4,rainfed,Desi,111.1,3,Rice,0.42,0.62,0.2,2,4,23,1,0,349.0,0.685,High,normal
Beed,Aurangabad,Kharif,2010,424.1,36.0,16.6,50.9,2,-13.0,2,0,Deep Black Cotton,7.9,0.77,267.6,20.6,470.3,20.0,0.32,Tur Dal,0,canal,BT,113.4,1,Cotton,0.3,0.67,0.37,1,3,6,0,0,773.1,0.174,Low,normal
Beed,Aurangabad,Kharif,2010,510.5,36.5,15.9,54.3,9,4.7,-2,0,Deep Black Cotton,8.2,0.69,256.9,15.2,383.2,29.6,0.32,Jowar,4,drip,BT,216.2,3,Sugarcane,0.49,0.67,0.18,0,2,6,0,0,1308.3,0.048,Low,normal
Latur,Aurangabad,Kharif,2010,453.3,36.9,16.9,60.0,11,-7.0,0,0,Medium Black,7.1,0.45,195.0,16.1,427.9,24.0,0.73,Soybean,4,drip,Hybrid,192.7,1,Soybean,0.44,0.73,0.29,1,5,7,0,0,1443.8,0.227,Low,normal
Latur,Aurangabad,Kharif,2010,497.2,37.3,15.3,62.0,7,2.0,5,0,Deep Black Cotton,7.9,0.71,244.4,25.6,308.4,39.4,1.02,Cotton,7,rainfed,Hybrid,215.6,1,Soybean,0.48,0.58,0.1,0,10,4,0,0,311.4,0.201,Low,normal
Latur,Aurangabad,Kharif,2010,515.9,35.1,18.3,79.5,13,5.8,0,0,Medium Black,6.6,0.69,198.8,14.7,318.5,23.3,0.65,Tur Dal,0,rainfed,BT,145.5,5,Cotton,0.39,0.78,0.39,2,5,5,0,0,977.1,0.359,Medium,normal
Latur,Aurangabad,Kharif,2010,463.2,36.2,17.1,78.9,8,-5.0,5,0,Medium Black,7.8,0.45,194.9,25.0,427.2,26.9,0.43,Jowar,8,drip,Desi,116.7,2,Tur Dal,0.37,0.72,0.35,0,2,4,0,0,1485.7,0.123,Low,normal
Dharashiv,Aurangabad,Kharif,2010,442.6,37.3,17.0,48.1,7,-9.2,-3,0,Deep Black Cotton,7.6,0.43,260.1,30.3,446.7,26.0,0.46,Soybean,-9,canal,Hybrid,252.8,1,Grapes,0.44,0.76,0.32,1,6,4,1,0,1360.3,0.529,High,normal
Dharashiv,Aurangabad,Kharif,2010,542.6,34.2,18.4,54.0,7,11.3,3,0,Medium Black,7.1,0.47,223.0,25.8,281.8,27.2,0.28,Cotton,3,rainfed,Desi,142.2,0,Grapes,0.32,0.59,0.27,1,8,16,1,0,309.6,0.599,High,normal
Dharashiv,Aurangabad,Kharif,2010,566.8,34.6,17.1,61.4,7,16.3,-7,0,Medium Black,7.1,0.69,164.5,25.1,288.2,21.8,0.39,Tur Dal,-2,rainfed,Hybrid,156.9,1,Onion,0.35,0.53,0.18,3,17,4,1,1,789.7,1.0,Critical,pest_outbreak
Dharashiv,Aurangabad,Kharif,2010,434.1,37.4,16.7,50.6,8,-11.0,0,0,Medium Black,7.5,0.38,175.9,15.0,316.0,30.1,0.51,Jowar,0,sprinkler,HYV,225.1,1,Sugarcane,0.36,0.84,0.48,1,4,3,0,1,1221.5,0.365,Medium,normal
Nanded,Aurangabad,Kharif,2010,464.2,37.1,18.9,53.2,10,-4.8,-3,0,Deep Black Cotton,7.2,0.65,216.3,32.9,333.8,30.1,0.84,Soybean,0,rainfed,Hybrid,113.5,2,Jowar,0.28,0.76,0.48,0,4,0,0,1,1257.6,0.279,Medium,normal
Nanded,Aurangabad,Kharif,2010,581.1,36.6,15.5,72.5,3,19.2,1,0,Deep Black Cotton,8.3,0.73,234.1,29.2,362.9,29.4,1.04,Cotton,0,furrow,HYV,136.0,4,Cotton,0.28,0.58,0.3,0,3,4,0,0,333.8,0.142,Low,normal
Nanded,Aurangabad,Kharif,2010,580.9,36.5,15.5,72.0,5,19.2,-2,0,Deep Black Cotton,7.1,0.43,214.0,32.3,343.1,27.2,0.36,Tur Dal,-2,rainfed,Hybrid,271.7,6,Rice,0.35,0.63,0.28,0,9,3,0,0,901.5,0.258,Medium,normal
Nanded,Aurangabad,Kharif,2010,472.2,34.1,18.9,50.1,13,-3.1,0,0,Medium Black,6.5,0.49,180.1,22.8,309.4,21.0,0.65,Jowar,-1,drip,Hybrid,273.0,5,Grapes,0.45,0.51,0.06,4,22,4,1,1,1111.9,1.0,Critical,pest_outbreak
Parbhani,Aurangabad,Kharif,2010,561.4,36.3,17.1,62.2,11,15.2,-1,0,Medium Black,7.8,0.41,177.2,20.5,446.8,20.4,0.44,Soybean,-4,rainfed,Desi,159.6,1,Jowar,0.31,0.66,0.35,0,11,3,0,0,1264.8,0.271,Medium,normal
Parbhani,Aurangabad,Kharif,2010,399.7,37.3,18.4,56.4,4,-18.0,11,0,Medium Black,7.0,0.33,211.7,14.0,319.0,25.1,0.72,Cotton,9,rainfed,HYV,284.5,2,Jowar,0.48,0.75,0.27,1,4,6,1,1,285.3,0.549,High,normal
Parbhani,Aurangabad,Kharif,2010,412.3,35.5,16.8,59.8,4,-15.4,2,0,Medium Black,7.3,0.56,238.8,22.8,350.4,17.8,0.27,Tur Dal,0,sprinkler,BT,239.3,2,Jowar,0.5,0.79,0.29,1,2,6,1,0,1025.5,0.386,Medium,normal
Parbhani,Aurangabad,Kharif,2010,403.1,35.5,18.4,61.2,6,-17.3,-7,0,Deep Black Cotton,8.4,0.57,211.9,26.6,374.2,32.0,0.94,Jowar,-4,sprinkler,HYV,222.1,0,Soybean,0.34,0.55,0.21,0,9,2,0,0,1087.7,0.142,Low,normal
Hingoli,Aurangabad,Kharif,2010,522.0,36.4,16.5,53.7,5,7.1,2,0,Deep Black Cotton,7.1,0.48,272.6,23.3,379.1,26.3,0.43,Soybean,0,furrow,Desi,278.0,2,Tur Dal,0.36,0.85,0.49,0,5,7,0,0,1434.2,0.289,Medium,normal
Hingoli,Aurangabad,Kharif,2010,438.1,37.4,16.4,78.1,7,-10.1,-9,0,Medium Black,6.7,0.48,212.6,20.8,330.4,34.9,0.73,Cotton,5,canal,HYV,240.8,4,Rice,0.48,0.75,0.27,0,10,6,0,1,389.4,0.368,Medium,normal
Hingoli,Aurangabad,Kharif,2010,561.0,37.8,15.6,63.5,9,15.1,13,0,Medium Black,7.7,0.48,194.3,22.8,368.3,31.1,0.49,Tur Dal,-1,rainfed,Hybrid,267.9,3,Grapes,0.31,0.51,0.2,1,7,6,0,1,930.5,0.544,High,normal
